날짜,홈팀,원정팀,홈승확률,무승부확률,원정승확률
2026-05-19 18:30:00,Bournemouth,Manchester City,0.2,0.37,0.43
2026-05-19 19:15:00,Chelsea,Tottenham,0.63,0.27,0.1
2026-05-24 15:00:00,Brighton,Manchester United,0.2,0.37,0.43
2026-05-24 15:00:00,Burnley,Wolverhampton Wanderers,0.41,0.37,0.22
2026-05-24 15:00:00,Crystal Palace,Arsenal,0.1,0.25,0.65
2026-05-24 15:00:00,Fulham,Newcastle United,0.28,0.37,0.35
2026-05-24 15:00:00,Liverpool,Brentford,0.49,0.37,0.14
2026-05-24 15:00:00,Manchester City,Aston Villa,0.45,0.37,0.18
2026-05-24 15:00:00,Nottingham Forest,Bournemouth,0.1,0.25,0.65
2026-05-24 15:00:00,Sunderland,Chelsea,0.41,0.37,0.22
2026-05-24 15:00:00,Tottenham,Everton,0.16,0.37,0.47
2026-05-24 15:00:00,West Ham,Leeds,0.2,0.37,0.43
