team,season,xG,xGA,xPTS,PPDA,DC,실제득점,실제실점,실제승점,승,무,패,득실차,승점차(실제-xPTS),순위,팀,시즌,cluster,군집
Manchester City,21-22,93.4,25.21,91.88,9.28,508,99,26,93,29,6,3,73,1.1200000000000045,1,Manchester City,21-22,1,상위권
Liverpool,21-22,93.02,32.73,86.56,8.42,461,94,26,92,28,8,2,68,5.439999999999998,2,Liverpool,21-22,1,상위권
Chelsea,21-22,69.3,35.12,73.38,9.39,385,76,33,74,21,11,6,43,0.6200000000000045,3,Chelsea,21-22,1,상위권
Tottenham,21-22,67.95,43.7,66.09,14.35,285,69,40,71,22,5,11,29,4.909999999999997,4,Tottenham,21-22,0,중위권
Arsenal,21-22,63.39,48.39,64.76,14.48,314,61,48,69,22,3,13,13,4.239999999999995,5,Arsenal,21-22,0,중위권
Manchester United,21-22,57.21,56.85,54.52,14.53,293,57,57,58,16,10,12,0,3.479999999999997,6,Manchester United,21-22,0,중위권
West Ham,21-22,54.98,53.88,53.56,16.02,239,60,51,56,16,8,14,9,2.4399999999999977,7,West Ham,21-22,0,중위권
Leicester,21-22,49.49,66.11,42.31,14.75,252,62,59,52,14,10,14,3,9.689999999999998,8,Leicester,21-22,2,하위권
Brighton,21-22,49.57,47.21,54.18,9.83,305,42,44,51,12,15,11,-2,-3.1799999999999997,9,Brighton,21-22,0,중위권
Wolverhampton Wanderers,21-22,39.04,58.48,40.54,17.58,181,38,43,51,15,6,17,-5,10.46,10,Wolverhampton Wanderers,21-22,2,하위권
Newcastle United,21-22,41.53,62.71,41.53,16.03,170,44,62,49,13,10,15,-18,7.469999999999999,11,Newcastle United,21-22,2,하위권
Crystal Palace,21-22,48.84,41.33,58.15,13.98,213,50,46,48,11,15,12,4,-10.149999999999999,12,Crystal Palace,21-22,0,중위권
Brentford,21-22,52.89,49.5,56.0,13.08,232,48,56,46,13,7,18,-8,-10.0,13,Brentford,21-22,0,중위권
Aston Villa,21-22,43.13,53.1,46.2,14.2,258,52,54,45,13,6,19,-2,-1.2000000000000028,14,Aston Villa,21-22,0,중위권
Southampton,21-22,47.35,64.56,43.45,11.33,209,43,67,40,9,13,16,-24,-3.450000000000003,15,Southampton,21-22,0,중위권
Everton,21-22,44.47,60.69,43.54,16.49,190,43,66,39,11,6,21,-23,-4.539999999999999,16,Everton,21-22,2,하위권
Leeds,21-22,51.19,71.31,43.86,10.31,239,42,79,38,9,11,18,-37,-5.859999999999999,17,Leeds,21-22,0,중위권
Burnley,21-22,41.11,60.22,38.1,13.53,184,34,53,35,7,14,17,-19,-3.1000000000000014,18,Burnley,21-22,2,하위권
Watford,21-22,39.34,67.53,35.45,16.55,159,34,77,23,6,5,27,-43,-12.450000000000003,19,Watford,21-22,2,하위권
Norwich,21-22,31.51,80.08,25.04,17.37,188,23,84,22,5,7,26,-61,-3.039999999999999,20,Norwich,21-22,2,하위권
Manchester City,22-23,84.32,34.21,83.04,11.11,450,94,33,89,28,5,5,61,5.959999999999994,1,Manchester City,22-23,1,상위권
Arsenal,22-23,76.51,45.16,72.53,9.54,452,88,43,84,26,6,6,45,11.469999999999999,2,Arsenal,22-23,1,상위권
Manchester United,22-23,71.9,50.29,66.4,12.02,391,58,43,75,23,6,9,15,8.599999999999994,3,Manchester United,22-23,1,상위권
Newcastle United,22-23,76.98,41.86,71.67,10.27,376,68,33,71,19,14,5,35,-0.6700000000000017,4,Newcastle United,22-23,1,상위권
Liverpool,22-23,80.77,55.77,67.37,9.68,419,75,47,67,19,10,9,28,-0.37000000000000455,5,Liverpool,22-23,1,상위권
Brighton,22-23,77.72,50.15,70.86,9.66,362,72,53,62,18,8,12,19,-8.86,6,Brighton,22-23,1,상위권
Aston Villa,22-23,50.0,53.96,54.37,13.4,258,51,46,61,18,7,13,5,6.630000000000003,7,Aston Villa,22-23,0,중위권
Tottenham,22-23,57.83,51.66,57.6,13.57,239,70,63,60,18,6,14,7,2.3999999999999986,8,Tottenham,22-23,0,중위권
Brentford,22-23,59.23,51.45,58.26,12.38,231,58,46,59,15,14,9,12,0.740000000000002,9,Brentford,22-23,0,중위권
