경기ID,날짜,홈팀,원정팀,홈승확률,무승부확률,원정승확률
29132,2026-05-09 11:30:00,Liverpool,Chelsea,0.4,0.37,0.23
29128,2026-05-09 14:00:00,Brighton,Wolverhampton Wanderers,0.53,0.37,0.1
29131,2026-05-09 14:00:00,Fulham,Bournemouth,0.21,0.37,0.42
29135,2026-05-09 14:00:00,Sunderland,Manchester United,0.11,0.37,0.53
29133,2026-05-09 16:30:00,Manchester City,Brentford,0.59,0.31,0.1
29129,2026-05-10 13:00:00,Burnley,Aston Villa,0.15,0.37,0.48
29130,2026-05-10 13:00:00,Crystal Palace,Everton,0.44,0.37,0.19
29134,2026-05-10 13:00:00,Nottingham Forest,Newcastle United,0.41,0.37,0.22
29137,2026-05-10 15:30:00,West Ham,Arsenal,0.1,0.28,0.62
29136,2026-05-11 19:00:00,Tottenham,Leeds,0.25,0.37,0.38
29147,2026-05-17 14:00:00,Wolverhampton Wanderers,Fulham,0.19,0.37,0.44
29146,2026-05-17 14:00:00,Newcastle United,West Ham,0.38,0.37,0.25
29145,2026-05-17 14:00:00,Manchester United,Nottingham Forest,0.49,0.37,0.14
29144,2026-05-17 14:00:00,Leeds,Brighton,0.48,0.37,0.16
29143,2026-05-17 14:00:00,Everton,Sunderland,0.49,0.37,0.14
29141,2026-05-17 14:00:00,Brentford,Crystal Palace,0.4,0.37,0.23
29140,2026-05-17 14:00:00,Aston Villa,Liverpool,0.16,0.37,0.47
29139,2026-05-17 14:00:00,Arsenal,Burnley,0.75,0.15,0.1
29138,2026-05-17 14:00:00,Bournemouth,Manchester City,0.17,0.37,0.46
29142,2026-05-17 14:00:00,Chelsea,Tottenham,0.54,0.36,0.1
29084,2026-05-22 15:00:00,Manchester City,Crystal Palace,0.61,0.29,0.1
29156,2026-05-24 15:00:00,Tottenham,Everton,0.34,0.37,0.29
29148,2026-05-24 15:00:00,Brighton,Manchester United,0.21,0.37,0.42
29149,2026-05-24 15:00:00,Burnley,Wolverhampton Wanderers,0.32,0.37,0.31
29150,2026-05-24 15:00:00,Crystal Palace,Arsenal,0.1,0.36,0.54
29151,2026-05-24 15:00:00,Fulham,Newcastle United,0.38,0.37,0.25
29152,2026-05-24 15:00:00,Liverpool,Brentford,0.47,0.37,0.16
29153,2026-05-24 15:00:00,Manchester City,Aston Villa,0.69,0.21,0.1
29154,2026-05-24 15:00:00,Nottingham Forest,Bournemouth,0.24,0.37,0.39
29155,2026-05-24 15:00:00,Sunderland,Chelsea,0.1,0.36,0.54
29157,2026-05-24 15:00:00,West Ham,Leeds,0.24,0.37,0.39
