팀,실제득점,실제실점,실제승점,승,무,패,xG,xGA,xPTS,PPDA,DC,득점차(실제-xG),승점차(실제-xPTS),시즌,순위,예측순위,순위차,득실차
Arsenal,67,26,76,23,7,5,70.92,30.61,73.28,10.4,312,-3.92,2.72,25-26,1,4,-3,41
Manchester City,69,32,71,21,8,5,70.38,41.24,66.73,11.34,353,-1.38,4.27,25-26,2,4,-2,37
Manchester United,63,48,64,18,10,7,65.04,46.5,58.51,11.31,255,-2.04,5.49,25-26,3,9,-6,15
Liverpool,59,47,58,17,7,11,62.09,49.29,57.19,10.35,348,-3.09,0.81,25-26,4,8,-4,12
Aston Villa,48,44,58,17,7,11,49.48,52.04,45.46,12.98,277,-1.48,12.54,25-26,5,13,-9,4
Bournemouth,55,52,52,12,16,7,62.78,52.2,56.62,10.67,254,-7.78,-4.62,25-26,6,9,-3,3
Brentford,52,46,51,14,9,12,62.58,49.92,55.59,11.65,223,-10.58,-4.59,25-26,7,10,-3,6
Brighton,49,42,50,13,11,11,53.26,50.16,50.07,9.29,235,-4.26,-0.07,25-26,8,13,-5,7
Chelsea,54,48,48,13,9,13,69.6,53.01,56.57,10.44,256,-15.6,-8.57,25-26,9,9,0,6
Everton,44,44,48,13,9,13,46.18,54.02,43.72,14.72,196,-2.18,4.28,25-26,10,13,-4,0
Fulham,44,49,48,14,6,15,45.12,58.11,39.63,13.61,263,-1.12,8.37,25-26,11,13,-4,-5
Sunderland,37,46,47,12,11,12,38.28,57.56,36.38,13.85,185,-1.28,10.62,25-26,12,16,-4,-9
Newcastle United,49,51,45,13,6,16,56.59,53.16,50.78,10.69,238,-7.59,-5.78,25-26,13,13,0,-2
Leeds,47,52,43,10,13,12,55.2,49.87,53.53,13.09,188,-8.2,-10.53,25-26,14,11,3,-5
Crystal Palace,36,42,43,11,10,13,55.91,50.53,49.77,14.28,237,-19.91,-6.77,25-26,15,11,3,-6
Nottingham Forest,44,46,42,11,9,15,43.57,57.47,38.85,14.77,187,0.43,3.15,25-26,16,12,4,-2
Tottenham,45,54,37,9,10,16,41.75,52.36,43.5,11.27,193,3.25,-6.5,25-26,17,13,4,-9
West Ham,42,61,36,9,9,17,44.63,62.6,39.75,15.01,163,-2.63,-3.75,25-26,18,14,4,-19
Burnley,35,71,20,4,8,23,33.75,76.76,22.13,14.17,141,1.25,-2.13,25-26,19,18,1,-36
Wolverhampton Wanderers,25,63,18,3,9,23,33.59,63.31,31.39,13.83,161,-8.59,-13.39,25-26,20,17,3,-38
