팀,실제득점,실제실점,실제승점,승,무,패,xG,xGA,xPTS,PPDA,DC,득점차(실제-xG),승점차(실제-xPTS),시즌
Manchester City,96,34,91,28,7,3,89.55,37.27,83.07,11.9,516,6.45,7.93,23-24
Arsenal,91,29,89,28,5,5,84.39,31.78,81.94,9.76,531,6.61,7.06,23-24
Liverpool,86,41,82,24,10,4,94.79,47.4,76.88,8.03,510,-8.79,5.12,23-24
Aston Villa,76,61,68,20,8,10,67.42,65.08,55.43,15.72,344,8.58,12.57,23-24
Tottenham,74,61,66,20,6,12,73.35,68.07,57.42,7.83,493,0.65,8.58,23-24
Chelsea,77,63,63,18,9,11,80.88,62.6,64.2,10.54,382,-3.88,-1.2,23-24
Manchester United,57,58,60,18,6,14,60.33,74.76,44.42,12.89,319,-3.33,15.58,23-24
Newcastle United,85,62,60,18,6,14,84.48,62.46,65.59,10.99,348,0.52,-5.59,23-24
West Ham,60,74,52,14,10,14,54.53,77.91,41.28,18.65,159,5.47,10.72,23-24
Crystal Palace,57,58,49,13,10,15,53.94,57.99,50.46,15.05,244,3.06,-1.46,23-24
Bournemouth,54,67,48,13,9,16,63.76,65.51,53.47,10.37,303,-9.76,-5.47,23-24
Everton,40,51,48,13,9,16,60.75,60.26,53.1,15.05,237,-20.75,-5.1,23-24
Brighton,55,62,48,12,12,14,61.91,60.94,54.43,10.66,361,-6.91,-6.43,23-24
Fulham,55,61,47,13,8,17,52.81,66.9,44.98,15.64,288,2.19,2.02,23-24
Wolverhampton Wanderers,50,65,46,13,7,18,50.65,76.11,39.79,13.55,216,-0.65,6.21,23-24
Brentford,56,65,39,10,9,19,64.29,60.26,52.94,10.99,286,-8.29,-13.94,23-24
Nottingham Forest,49,67,36,9,9,20,52.16,56.25,50.17,21.25,213,-3.16,-14.17,23-24
Luton,52,85,26,6,8,24,49.87,91.65,32.33,14.68,178,2.13,-6.33,23-24
Burnley,41,78,24,5,9,24,43.44,75.72,33.69,14.28,211,-2.44,-9.69,23-24
Sheffield United,35,104,16,3,7,28,41.31,85.71,28.53,24.95,169,-6.31,-12.53,23-24
Manchester City,99,26,93,29,6,3,93.4,25.21,91.88,9.28,508,5.6,1.12,21-22
Liverpool,94,26,92,28,8,2,93.02,32.73,86.56,8.42,461,0.98,5.44,21-22
Chelsea,76,33,74,21,11,6,69.3,35.12,73.38,9.39,385,6.7,0.62,21-22
Tottenham,69,40,71,22,5,11,67.95,43.7,66.09,14.35,285,1.05,4.91,21-22
Arsenal,61,48,69,22,3,13,63.39,48.39,64.76,14.48,314,-2.39,4.24,21-22
Manchester United,57,57,58,16,10,12,57.21,56.85,54.52,14.53,293,-0.21,3.48,21-22
West Ham,60,51,56,16,8,14,54.98,53.88,53.56,16.02,239,5.02,2.44,21-22
Leicester,62,59,52,14,10,14,49.49,66.11,42.31,14.75,252,12.51,9.69,21-22
Brighton,42,44,51,12,15,11,49.57,47.21,54.18,9.83,305,-7.57,-3.18,21-22
Wolverhampton Wanderers,38,43,51,15,6,17,39.04,58.48,40.54,17.58,181,-1.04,10.46,21-22
Newcastle United,44,62,49,13,10,15,41.53,62.71,41.53,16.03,170,2.47,7.47,21-22
Crystal Palace,50,46,48,11,15,12,48.84,41.33,58.15,13.98,213,1.16,-10.15,21-22
Brentford,48,56,46,13,7,18,52.89,49.5,56.0,13.08,232,-4.89,-10.0,21-22
Aston Villa,52,54,45,13,6,19,43.13,53.1,46.2,14.2,258,8.87,-1.2,21-22
Southampton,43,67,40,9,13,16,47.35,64.56,43.45,11.33,209,-4.35,-3.45,21-22
Everton,43,66,39,11,6,21,44.47,60.69,43.54,16.49,190,-1.47,-4.54,21-22
Leeds,42,79,38,9,11,18,51.19,71.31,43.86,10.31,239,-9.19,-5.86,21-22
Burnley,34,53,35,7,14,17,41.11,60.22,38.1,13.53,184,-7.11,-3.1,21-22
Watford,34,77,23,6,5,27,39.34,67.53,35.45,16.55,159,-5.34,-12.45,21-22
Norwich,23,84,22,5,7,26,31.51,80.08,25.04,17.37,188,-8.51,-3.04,21-22
Manchester City,94,33,89,28,5,5,84.32,34.21,83.04,11.11,450,9.68,5.96,22-23
Arsenal,88,43,84,26,6,6,76.51,45.16,72.53,9.54,452,11.49,11.47,22-23
Manchester United,58,43,75,23,6,9,71.9,50.29,66.4,12.02,391,-13.9,8.6,22-23
Newcastle United,68,33,71,19,14,5,76.98,41.86,71.67,10.27,376,-8.98,-0.67,22-23
Liverpool,75,47,67,19,10,9,80.77,55.77,67.37,9.68,419,-5.77,-0.37,22-23
Brighton,72,53,62,18,8,12,77.72,50.15,70.86,9.66,362,-5.72,-8.86,22-23
Aston Villa,51,46,61,18,7,13,50.0,53.96,54.37,13.4,258,1.0,6.63,22-23
Tottenham,70,63,60,18,6,14,57.83,51.66,57.6,13.57,239,12.17,2.4,22-23
Brentford,58,46,59,15,14,9,59.23,51.45,58.26,12.38,231,-1.23,0.74,22-23
Fulham,55,53,52,15,7,16,47.98,71.49,39.24,13.96,203,7.02,12.76,22-23
Crystal Palace,40,49,45,11,12,15,40.72,51.63,44.24,15.04,197,-0.72,0.76,22-23
